Index,Project Title,Status,Executing Entity,Duration,"Locations:
To navigate, press the arrow keys.",Approval Date,Start Date,Country/Region,Implementing Entity,Project ID,Transferred Amount,Grant Amount,Sector,Project Description,Completion Date,Locations:
10,Climate Change Adaptation through Protective Small-scale Infrastructure Interventions in Coastal Settlements of Cambodia,Project Under Implementation,"National Council for SustainableDevelopment (NCSD)",4 years,,01/26/2021,08/26/2021,Cambodia/Asia-Pacific,UN-Habitat,,"USD 2,913,095","USD 5,000,000",Urban development," Cambodia is vulnerable to droughts, floods and sea-level rise. The coastal area is also increasingly affected by strong winds, which are often associated with the onset of thunderstorms. Increases in sea levels are especially alarming for Cambodia’s coastal areas that are already experiencing severe seawater intrusion, beach erosion, high tides, and frequent storm surges. Additional impacts such as land subsidence in the region may even further intensify its effects. In addition, substantial saltwater incursion and coastal erosion has been observed throughout the coastal area, including in all eight of the target communes. Considering the topography of the area; primarily flat coastal plain, characterised by rice paddy and poor settlements, erosion and seawater incursion is having a substantial impact on the ability of people to source their livelihoods. The main objective of the project is to enhance climate change adaptation and resilience of the most vulnerable coastal human settlements of Cambodia through concrete climate change adaptation actions, particularly in areas where ecotourism has the potential to sustain such interventions. To achieve this objective, the project focuses its actions on highly vulnerable settlements in Kep Province and Prey Nob District of Preah Sihanouk Province. The anticipated impact of the project will be reflected in the Kep Province, where the project will target four sangkats/communes, with a total of 28,021 direct beneficiaries of the project’s interventions, and in Prey Nob District (in Preah Sihanouk Province) targeting seven communes, with a total of 34,500 beneficiaries.  ",,
11,Enhancing Climate Resilience of Rural Communities Living in Protected Areas of Cambodia,Project Completed,Cambodia Ministry of Environment,5 years,,06/29/2012,05/21/2013,Cambodia/Asia-Pacific,UN Environment Programme,KHM/MIE/Food/2011/1,"USD 4,954,273","USD 4,954,273",,   ,,
12,Increasing Local Communities’ Resilience to Climate Change through Youth Entrepreneurship and Integrated Natural Resources Management,Project Under Implementation,"Ministry of Environment, Protection of Nature and  Sustainable Development (MINEPDED)",6 years,,09/23/2020,10/27/2022,Cameroon/Africa,International Fund Agricultural Dev,,"USD 1,260,000","USD 9,982,000",Agriculture,The overall objective of the project is to increase local communities’ resilience to climate change through resilient livelihoods and integrated natural resources management. 72. The project will deliver this objective through three outcomes:  ,,
13,Enhancing resilience to climate change of the small agriculture in the Chilean region of O’Higgins,Project Under Implementation,Ministry of Agriculture and Ministry of Environmen,4 years,,10/09/2015,08/18/2017,Chile/Latin America & Caribbean,Agencia de Cooperación Internacional de Chile,,"USD 9,960,000","USD 9,960,000",Agriculture,"The O´Higgins region includes 33 municipalities eight of which are chosen as project area: Paredones, Pichilemu, Marchihue, La Estrella, Litueche, Navidad, Lolol and Pumanque. According to climate change projections, O’Higgins region is located among the areas that will be most affected by precipitation decreases. The effects of climate change are projected to further exacerbate water scarcity and soil degradation that the small farmers of the area are already facing. Besides agricultural production, climate change will also affect ecosystem services and biodiversity intensifying the vulnerability of small and subsistence farmers to climate conditions. Objectives: The main objective is to increase the resilience capacity of rural farm communities in the coastal and inner dry lands of the O´Higgins region with respect to actual climate variation and future climate changes. Specific objectives of the project are:  ",,
14,Reducing Risk and Vulnerability to Climate Change in the Region of La Depresion Momposina in Colombia,Project Completed,Ministry of Environment and Sustainable Developmen,5 years,,06/29/2012,03/21/2013,Colombia/Latin America & Caribbean,UN Development Programme,COL/MIE/DRR/2011/1,"USD 8,518,307","USD 8,518,307",Disaster Risk Reduction,"        To learn more, please see the project document below.",01/31/2020,
15,Building adaptive capacity to climate change in vulnerable communities living in the Congo River Basin,Project Under Implementation,"Ministry of Tourism and Environment ,",5 years,,10/11/2019,02/22/2022,Congo/Africa,UN World Food Programme,,"USD 1,996,677","USD 9,999,909",Food Security,"Congo is experiencing main climate change impacts such as extreme weather events, sea-level rise, average global temperature rise, and unpredictable rainfall patterns have considerable effects on people’s livelihoods. Consequently, changing climatic conditions threaten the achievement of development goals, with extreme consequences for the most vulnerable social groups. Large parts of the economy in Congo are highly climate sensitive in particular the agriculture, infrastructure and water sectors. Also, livelihoods are highly dependent on climate-sensitive natural resources such as dry land agriculture, forestry and local water resources. There is little protection against disasters from storms and floods and there is limited adaptive capacity. The project aims to reduce vulnerability to the impacts of climate change and strengthen adaptive capacities of vulnerable communities and the ecosystems they depend on, by promoting food security, nutrition and use a gender sensitive approach. The project purposely targets those who are most affected by climate change, poverty, food insecurity, and who rely on agricultural livelihoods that are limited by and vulnerable to climate change impacts, especially women and indigenous groups.  ",,
16,“Akamatutu’anga kia Tukatau te Ora’anga ite Pa Enua” Pa Enua Action for Resilient Livelihoods (PEARL),Project Under Implementation,Climate Change Cook Islands,3 years,,03/22/2018,12/06/2018,Cook Islands/Asia-Pacific,Ministry of Finance and Economic Management,COK/NIE/Multi/2017/1,"USD 2,999,125","USD 2,999,125",Multi-sector,"The Cook Islands experiences a range of natural hazards, including tropical cyclones, tsunami, floods and droughts. It is increasingly vulnerable to slow and fast-onset events resulting from natural, man-made and climate related hazards such as coastal erosion from sea level rise, ocean acidification, tropical cyclones and drought. In addition, the existing socio-economic, infrastructure and environmental pressures intensify this vulnerability. The outer islands of the Cook Islands (known as Pa Enua) has been challenged to effectively implement disaster risk management, water and food security plans due to limited national coordination frameworks, information gaps, and duplication of effort resulting in poor and/or insufficient early warning systems and coping strategies. The objective of the programme is to build and implement an integrated approach to further increase the adaptive capacity of remote island communities and ecosystems to disaster risk and climate change impacts. The sub- objectives for the programme are: The project consists of three components: Component 1: Strengthening disaster risk governance to manage disaster risk and enhancing disaster preparedness for effective response to “Build Back Better” in recovery, rehabilitation and reconstruction;Component 2: Integrated Water Security Management Planning and Implementation;Component 3: Revitalised agricultural production systems strengthening island food sources and livelihoods in the Pa Enua.  ",06/06/2022,
17,Akamatutu’anga i te iti tangata no te tuatau manakokore ia e te taui’anga reva – Strengthening the Resilience of our Islands and our Communities to Climate Change,Project Completed,Climate Change Coordination Unit and Emergency Mgt,5 years,,12/14/2011,07/04/2012,Cook Islands/Asia-Pacific,UN Development Programme,COK/MIE/Multi/2011/1/PD,"USD 5,381,600","USD 5,381,600",Disaster Risk Reduction,         ,05/01/2018,
18,Increasing the Resilience of Vulnerable Populations in Costa Rica by Scaling up Adapta2+,Proposal Approved,",,Ministry of Agriculture, Instituto Nacional de Innovación y Transferencia en TecnologíaAgropecuaria (INTA), Instituto Meteorológico Nacional, Universidad de Costa Rica, Instituto Tecnológico de Costa Rica, Universidad Técnica Nacional, CONARE, ALIARSE, Alianza Empresarial para el Desarrollo, Oficina Nacional de Semillas, Cámara Nacional de Productores de Leche, CORFOGA, Cooperativa de Productores de Puriscal, Centro Agrícola Cantonal, ACEPESA, FUCOGA, Raising Corals, Colegio Federado de Ingenieros y Arquitectos, Fundación Corcovado, Asociación Costarricense de Ciencias del Suelo",6 years,,07/28/2022,,Costa Rica/Latin America & Caribbean,Fundecooperacion Para el Desarollo Sostenible,,"USD 700,000","USD 10,000,000",Food Security,"   Costa Rica is one of the most vulnerable countries to climate change impacts, and more particularly to extreme hydro-meteorological events due to a combination of geographical location and economic factors. Impacts of climatic events are experienced inversely on both coasts: in other words, while droughts take place on the Pacific slope, floods are suffered on the Caribbean slope. Climate change impacts have created challenges for the agricultural and fisheries sectors – and will continue to do so. Previous national adaptation experiences in the agricultural and fisheries sectors have shown the need to adapt the food systems rather than only focusing on its long-term transformation. The Adapta2+ experience has shown that the slow shift from traditional agricultural food value chains and agricultural practices to sustainable food production and consumption patterns will occur and will last by engaging governments, farmers, agro-industry, retailers and consumers. The program highlights the importance of enabling conditions for farmers and fishers of the private sector to increase local resilience to ensure the long-term impacts of the adaptation strategies. The need to reinforce local markets based on value chains for farmers, fishers and MSMEs, especially led by women, have been identified to upscale its results. Joining farmers, fishers, businesses along the value chain, community-based organizations, and local and national governments to work together would allow strengthening local markets. Hence, escalating the existing finance options and creating new ones for the private sector would support the transformation of the agriculture sector and MSMEs. To do so, training and supporting finance institutions is key to show the profitability of financing adaptation. Building capacities in finance institutions also ensures the long-term impact and continuity of the program and its benefits. For its implementation, the program is based on the six planning regions of Costa Rica, defined by the Ministry of Planning and Economic Policy (MIDEPLAN), and their corresponding counties. The project aims to benefit 4,000 producers (farmers and fishers), at least 50% are women; additionally, it will produce capacity building and dissemination of knowledge activities for at least 10,000 people (50% women); and provide around 230 loans granted to producers, MSMEs, and organizations within the six planning regions.    ",,
19,"Reducing the Vulnerability by Focusing on Critical Sectors (Agriculture, Water Resources and Coastlines) in order to Reduce the Negative Impacts of Climate Change and Improve the Resilience of these Sectors.",Project Under Implementation,Fundecooperación,5 years,,10/10/2014,10/07/2015,Costa Rica/Latin America & Caribbean,Fundecooperacion Para el Desarollo Sostenible,CRI/NIE/Multi/2013/1,"USD 9,970,000","USD 9,970,000",Multi-sector,"Costa Rica is experiencing the effects of increasing temperatures and intensity of extreme rainfall. These effects, due to climate change, are increasing the vulnerability of the water resources of the country, threatening the sustainable production of agricultural resources that promote food security and livelihoods, as well as negatively affecting mangroves and coral reefs, which serve as protective barriers to coastal communities. Objectives: The objective of this programme is to reduce climate vulnerability by focusing on critical sectors (agriculture, water resources, and coastal zones) in order to reduce the negative impacts of climate change, and improve the resilience of those populations. This program will seek to increase climate resilience by working directly with local stakeholders and anticipated beneficiaries through the implementation of adaptation projects in each of the geographical areas selected. Projects submitted by local organizations have been screened and the preselected proposals went through an in-depth assessment of their potential for the enhancement of climate resilience, which involves an analysis of the actions’ appropriateness, based on the local biophysical and socioeconomic context. The support will consist of investment in interventions, technical assistance, and training related to this plan.   Component 1: Increasing the adaptation capacity to climate change in the agricultural sector (including agriculture and livestock) USD 3,000,000 Component 2: Improving water resources management in order to increase resilience in coastal communities that are more vulnerable to climate change USD 3,449,010 Component 3: Improving the capacity of communities, producers, institutions, and other relevant stakeholders regarding adaptation to climate change USD 1,900,000 Project/Programme Execution Cost USD 860,000  Total Project/Programme Cost (= Project Components + Execution Cost) USD 9,216,590   Implementing Fee USD 750,000 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 9,970,000    ",,
20,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces,Project Completed,CITMA-MINAGRI,5 years,,12/14/2012,09/11/2014,Cuba/Latin America & Caribbean,UN Development Programme,CUB/MIE/Coastal/2012/1/,"USD 6,067,320","USD 6,067,320",Coastal management,"This project focuses specifically on an 84 km long stretch of coastline between Punta Sucia and Punta Mora in the western provinces of Artemisa and Mayabeque, covering 6 municipalities. This coastline, which lies on the Gulf of Batabanó, is comprised of a large coastal wetland area based on clay and terrestrial deposits, dominated by mangroves. This is one of the most vulnerable regions in the country to tropical storms and hurricanes, and associated storm surges. The project will rely on a combination of natural regeneration and artificial regeneration (planting) to achieve the recovery of structure, function and ecosystem services in mangroves and other associated coastal ecosystems.    ",,
21,Integrated Water and Soil Resources Management Project (Projet de gestion intégrée des ressources en eau et des sols PROGIRES),Project Under Implementation,"Ministry of Agriculture, Water, Fisheries and Livestock",5.5 years,,07/26/2021,03/29/2022,Djibouti/Africa,International Fund Agricultural Dev,,"USD 1,052,450","USD 5,339,285",Water management," The Project will operate in the Adwaac, Deydey-Weyn, Medeho catchment areas and to a lesser extent in the Petit Bara/Ambouli and Grand Bara basins (six basins), belonging respectively to the regions of Tadjourah, Ali-Sabieh, Obock, Arta and Dikhil. These areas are characterized by high poverty rates with sites where natural resources are often degraded: the majority of the selected localities are located in these pockets of poverty. The choice of intervention sites has been based on four pre-established criteria agreed with the government, namely: (i) existence of untapped surface water resources (actual or potential), in sufficient quantity and quality; (ii) poverty index; (iii) population density or settlement dynamics; (iv) existence of agricultural potential and/or rangelands; plus (v) food security needs. For all the localities, the project will capitalize on what has already been done in other interventions by mobilizing and maximizing the potential of water resources through sound management and development of the resource in the context of climate change. The project will thus strengthen the capacities of households, men/women and young people to cope with climate change through practical training (field schools and demonstrations) and local support in various areas of individual or collective management: technical advice, professional advice and organization, advice on the management of the water mobilized and rangelands, environmental education, nutritional education and food security, access to social services andIncome-Generating Activities (IGAs),especially for young people and women, for income diversification. The main objective of PROGIRES is to improve the climate resilience of vulnerable ecosystems and increase the adaptive capacity of rural poor to respond to the impacts of climate change in Djibouti. Overall, the IGAs will target 800 IGA holders, i.e. 4,800 beneficiaries. It is expected that at the end of the project, the most marginalized women and youth will be able to create and sustainably manage economically profitable activities.  418,285  ",,
22,Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities,Project Completed,"Ministry of Habitat, Environment and Urbanism (MHE",5 years,,06/28/2012,03/13/2013,Djibouti/Africa,UN Development Programme,,"USD 4,658,556","USD 4,658,556",Agriculture,     ,02/28/2018,
23,"Enhancing Climate Resilience in San Cristóbal province, Dominican Republic Integrated Water Resources Management and Rural Development Programme",Project Under Implementation,"Ministry of Environment and Natural Resources, National Institute for Water Supply, Community-based NGOs",4 years,,03/15/2019,07/17/2019,Dominican Republic/Latin America & Caribbean,Dominican Institute of Integral Development of Dominican Republic,,"USD 9,953,692","USD 9,953,692",Water management,"Water is a transcendental aspect within the thematic priorities and cross-cutting themes of the development agenda of the Dominican Republic, due to its effects on public health and rural livelihoods. Integrated water resources management (IWRM), which considers climate change, especially in river basins, sub-basins and other sources of water supply for rural communities, is a requirement for any intervention related to water with which you want to address the impacts of climate change and the vulnerability of communities. The main objective of the program is to increase the resilience and capacity to adapt to climate impacts and risks on the water resources of rural communities in the Province of San Cristóbal and contribute to the diversification of their livelihoods. This objective will be achieved through improving the access to water supply and sanitation services, re-afforestation activities aligned with a correct land use, and increasing institutional and community capacity and coordination for integrated management that supports other uses of water, especially for the diversification of the livelihoods of communities. The specific objectives of the project are: Project Story: Adaptation Fund in the Dominican Republic  ",,
24,"Increasing adaptive capacity of local communities, ecosystems and hydroelectric systems in the Río Blanco upper watershed (Toachi-Pilatón watershed) with a focus on Ecosystem and Community Based Adaptation and Integrated Adaptive Watershed Management",Proposal Approved,Food and Agriculture Organization (FAO) and the Ministry of Environment of Ecuador (MAE),3 years,,07/16/2018,,Ecuador/Latin America & Caribbean,Development Bank of Latin America,,"USD 646,368","USD 2,489,373",Rural development,"The proposed project general aims at strengthening the adaptive capacity of vulnerable populations, ecosystems and hydroelectric systems in the Río Blanco upper watershed and develop a model of adaptation to climate change that can be replicated in similar context in the country and in the region. The specific objectives of the project are: The project consists of three components:  ",,
25,"Enhancing resilience of communities to the adverse effects of climate change on food security, in Pichincha Province and the Jubones River basin",Project Completed,"Ministry of Environment in coord with the Min Agr,",5 years,,03/18/2011,11/29/2011,Ecuador/Latin America & Caribbean,UN World Food Programme,ECU/MIE/Food/2010/1,"USD 7,449,468","USD 7,449,468",Food Security,"Background:Nearly half of the communities in the Pichincha Province of Ecuador are affected by chronic malnutrition. Many small-scale farmers cannot feed their families adequately, as they have little or no access to capital, markets, or effective farming techniques and infrastructure. In the Olmedo community, for example, 90 percent of residents live below the poverty line and 40 percent are malnourished. At the same time, increasing population levels and the corresponding need for land have forced people to overexploit forests and to plant their crops on soil with high erosion rates. Poverty forces people to occupy unsafe areas most prone to natural disasters and increased population density is leaving more people exposed to reductions in water flows, decreased crop yields and ongoing environmental damage. Other factors contributing to vulnerability include lack of awareness of climate-related threats, the construction of homes on fragile land, and the inadequate quality of infrastructure and construction materials.       ",,
26,Building Resilient Food Security Systems to Benefit the Southern Egypt Region- Phase 2,Project Under Implementation,Ministry of Agriculture and Land Reclamation,3 years,,09/23/2020,09/20/2021,Egypt/Africa,UN World Food Programme,,"USD 1,813,304","USD 3,094,962",Food Security,"The overall objective of this project is to build resilience of Southern Egypt farming communities in the face of climate change and variability risks to food security. The project will, in line with the results of the Adaptation Fund (as highlighted in section III F below), help vulnerable communities to increase their adaptive capacity by promoting solutions to 1) increase productivity of their staple crops such as wheat and maize; 2) diversify their production through intercropping, animal and fish production and agro-processing; 3) increase production through protected agriculture; 4) support the management of their water resources through low-cost water saving techniques and 5) loss reduction in extreme weather events through early warning. The project will also build institutional capacities of the diversified stakeholders engaged in climate resilience building to upscale and sustain the different solutions introduced by the project.  ",,
27,Building Resilient Food Security Systems to Benefit the Southern Egypt Region,Project Completed,"Ministry of Agriculture, Ministry of Environment",4 years,,06/28/2012,03/31/2013,Egypt/Africa,UN World Food Programme,EGY/MIE/Food/2011/1,"USD 6,904,318","USD 6,904,318",Food Security,     ,,
