Country,Project Name,Project Link,Implementing Entity,Approved Amount (USD),Amount Transferred (USD),Approval Date,Status,Grant Category
Costa Rica,"Reducing the Vulnerability by Focusing on Critical Sectors (Agriculture, Water Resources and Coastlines) in order to Reduce the Negative Impacts of Climate Change and Improve the Resilience of these Sectors.",https://www.adaptation-fund.org/project/reducing-the-vulnerability-by-focusing-on-critical-sectors-agriculture-water-resources-and-coastlines-in-order-to-reduce-the-negative-impacts-of-climate-change-and-improve-the-resilience-of-these/,Fundecooperacion Para el Desarollo Sostenible,9970000.0,9970000.0,2014-10-10,Project Under Implementation,Regular Size Project
Cuba,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces,https://www.adaptation-fund.org/project/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces/,UN Development Programme,6067320.0,6067320.0,2012-12-14,Project Completed,Regular Size Project
Djibouti,Integrated Water and Soil Resources Management Project (Projet de gestion intégrée des ressources en eau et des sols PROGIRES),https://www.adaptation-fund.org/project/integrated-water-and-soil-resources-management-project-projet-de-gestion-integree-des-ressources-en-eau-et-des-sols-progires-2/,International Fund Agricultural Dev,5339285.0,1052450.0,2021-07-26,Project Under Implementation,Regular Size Project
Djibouti,Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities,https://www.adaptation-fund.org/project/developing-agro-pastoral-shade-gardens-as-an-adaptation-strategy-for-poor-rural-communities-in-djibouti/,UN Development Programme,4658556.0,4658556.0,2012-06-28,Project Completed,Regular Size Project
Dominican Republic,"Enhancing Climate Resilience in San Cristóbal province, Dominican Republic Integrated Water Resources Management and Rural Development Programme",https://www.adaptation-fund.org/project/enhancing-climate-resilience-san-cristobal-province-dominican-republic-integrated-water-resources-management-rural-development-programme-2/,Dominican Institute of Integral Development of Dominican Republic,9953692.0,9953692.0,2019-03-15,Project Under Implementation,Regular Size Project
Ecuador,"Increasing adaptive capacity of local communities, ecosystems and hydroelectric systems in the Río Blanco upper watershed (Toachi-Pilatón watershed) with a focus on Ecosystem and Community Based Adaptation and Integrated Adaptive Watershed Management",https://www.adaptation-fund.org/project/increasing-adaptive-capacity-local-communities-ecosystems-hydroelectric-systems-rio-blanco-upper-watershed-toachi-pilaton-watershed/,Development Bank of Latin America,2489373.0,646368.0,2018-07-16,Proposal Approved,Regular Size Project
Ecuador,"Enhancing resilience of communities to the adverse effects of climate change on food security, in Pichincha Province and the Jubones River basin",https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-to-the-adverse-effects-of-climate-change-on-food-security-in-pichincha-province-and-the-jubones-river-basin/,UN World Food Programme,7449468.0,7449468.0,2011-03-18,Project Completed,Regular Size Project
Egypt,Building Resilient Food Security Systems to Benefit the Southern Egypt Region- Phase 2,https://www.adaptation-fund.org/project/building-resilient-food-security-systems-to-benefit-the-southern-egypt-region-phase-2-2/,UN World Food Programme,3094962.0,1813304.0,2020-09-23,Project Under Implementation,Regular Size Project
Egypt,Building Resilient Food Security Systems to Benefit the Southern Egypt Region,https://www.adaptation-fund.org/project/building-resilient-food-security-systems-to-benefit-the-southern-egypt-region/,UN World Food Programme,6904318.0,6904318.0,2012-06-28,Project Completed,Regular Size Project
El Salvador,"Enhancing climate resilience of rural communities and ecosystems in Ahuachapán-Sur, El Salvador",https://www.adaptation-fund.org/project/enhancing-climate-resilience-of-rural-communities-and-ecosystems-in-ahuachapan-sur-el-salvador/,UN Development Programme,8484503.0,3556591.0,2019-10-11,Project Under Implementation,Regular Size Project
Eritrea,"Climate Change Adaptation Programme In Water and Agriculture In Anseba Region, Eritrea",https://www.adaptation-fund.org/project/climate-change-adaptation-programme-in-water-and-agriculture-in-anseba-region-eritrea/,UN Development Programme,6520850.0,6520850.0,2011-03-18,Project Completed,Regular Size Project
Ethiopia,Climate Smart Integrated Rural Development Project,https://www.adaptation-fund.org/project/climate-smart-integrated-rural-development-project/,Ministry of Finance and Economic Cooperation of the Federal Democratic Republic of Ethiopia,9987910.0,9987910.0,2017-03-17,Project Under Implementation,Regular Size Project
Fiji,Increasing the resilience of informal urban settlements in Fiji that are highly vulnerable to climate change and disaster risks,https://www.adaptation-fund.org/project/increasing-resilience-informal-urban-settlements-fiji-highly-vulnerable-climate-change-disaster-risks-2/,UN-Habitat,4235995.0,1797380.0,2017-10-10,Project Under Implementation,Regular Size Project
Gambia,Rural Integrated Climate Adaptation and Resilience Building Project (RICAR),https://www.adaptation-fund.org/project/rural-integrated-climate-adaptation-and-resilience-building-project-ricar-2/,UN World Food Programme,10000000.0,959736.0,2021-03-11,Project Under Implementation,Regular Size Project
Georgia,Dairy Modernization and Market Access: Adaptation Component (DiMMAdapt),https://www.adaptation-fund.org/project/dairy-modernization-and-market-access-adaptation-component-dimmadapt/,International Fund Agricultural Dev,4644794.0,2466655.0,2019-10-11,Project Under Implementation,Regular Size Project
Georgia,Developing Climate Resilient Flood and Flash Flood Management Practices to Protect Vulnerable Communities of Georgia,https://www.adaptation-fund.org/project/developing-climate-resilient-flood-and-flash-flood-management-practices-to-protect-vulnerable-communities-of-georgia/,UN Development Programme,5316500.0,5316500.0,2011-12-14,Project Completed,Regular Size Project
Ghana,Increased Resilience to Climate Change in Northern Ghana through the Management of Water Resources and Diversification of Livelihoods,https://www.adaptation-fund.org/project/increased-resilience-to-climate-change-in-northern-ghana-through-the-management-water-resources-and-diversification-of-livelihoods/,UN Development Programme,8293972.0,8293972.0,2015-03-05,Project Completed,Regular Size Project
Guatemala,Climate change resilient production landscapes and socioeconomic networks advanced in Guatemala,https://www.adaptation-fund.org/project/climate-change-resilient-productive-landscapes-and-socio-economic-networks-advanced-in-guatemala/,UN Development Programme,5425000.0,5425000.0,2013-09-12,Project Completed,Regular Size Project
Guinea-Bissau,Scaling up climate-smart agriculture in East Guinea Bissau,https://www.adaptation-fund.org/project/scaling-climate-smart-agriculture-east-guinea-bissau/,Banque Ouest Africaine de Developpement,9979000.0,7752000.0,2017-10-10,Project Under Implementation,Regular Size Project
Haiti,Implementing Measures for Climate Change Adaptation and Disaster Risk Reduction Mitigation of School Facilities in Haiti,https://www.adaptation-fund.org/project/implementing-measures-for-climate-change-adaptation-and-disaster-risk-reduction-mitigation-of-school-facilities-in-haiti/,"United Nations Educational, Scientific and Cultural Organization",9916344.0,1514200.0,2022-02-23,Project Under Implementation,Regular Size Project
Honduras,Ecosystem-Based Adaptation at Communities of the Central Forest Corridor in Tegucigalpa,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-communities-central-forest-corridor-tegucigalpa/,UN Development Programme,4379700.0,3649300.0,2017-03-17,Project Under Implementation,Regular Size Project
Honduras,Addressing Climate Change Risks on Water Resources in Honduras: Increased Systemic Resilience and Reduced Vulnerability of the Urban Poor,https://www.adaptation-fund.org/project/addressing-climate-change-risks-on-water-resources-in-honduras-increased-systemic-resilience-and-reduced-vulnerability-of-the-urban-poor/,UN Development Programme,5620300.0,5620300.0,2010-09-17,Project Completed,Regular Size Project
India,"Building Adaptive Capacities of Communities, Livelihoods and Ecological Security in the Kanha-Pench Corridor of Madhya Pradesh",https://www.adaptation-fund.org/project/building-adaptive-capacities-communities-livelihoods-ecological-security-kanha-pench-corridor-madhya-pradesh/,National Bank for Agriculture and Rural Development,2556093.0,2556093.0,2016-10-07,Project Under Implementation,Regular Size Project
India,"Building Adaptive Capacities of Small Inland Fishermen Community for Climate Resilience and Livelihood Security, Madhya Pradesh, India",https://www.adaptation-fund.org/project/building-adaptive-capacities-of-small-inland-fishers-for-climate-resilience-and-livelihood-security-madhya-pradesh-2/,National Bank for Agriculture and Rural Development,1790500.0,895240.0,2015-04-10,Project Under Implementation,Regular Size Project
India,Climate smart actions and strategies in north western Himalayan region for sustainable livelihoods of agriculture-dependent hill communities,https://www.adaptation-fund.org/project/climate-smart-actions-and-strategies-in-north-western-himalayan-region-for-sustainable-livelihoods-of-agriculture-dependent-hill-communities/,National Bank for Agriculture and Rural Development,969570.0,969570.0,2015-10-09,Project Under Implementation,Small Size Project
India,Climate Proofing of Watershed Development Projects in the States of Tamil Nadu and Rajasthan,https://www.adaptation-fund.org/project/climate-proofing-of-watershed-development-projects-in-the-states-of-rajasthan-and-tamil-nadu/,National Bank for Agriculture and Rural Development,1344155.0,1344155.0,2015-10-09,Project Under Implementation,Regular Size Project
India,Enhancing Adaptive Capacity and Increasing Resilience of Small and Marginal Farmers in Purulia and Bankura Districts of West Bengal,https://www.adaptation-fund.org/project/enhancing-adaptive-capacity-and-increasing-resilience-of-small-and-marginal-farmers-in-purulia-and-bankura-districts-of-west-bengal/,National Bank for Agriculture and Rural Development,2510854.0,2510854.0,2014-10-10,Project Under Implementation,Regular Size Project
India,Conservation and Management of Coastal Resources as a Potential Adaptation Strategy for Sea Level Rise,https://www.adaptation-fund.org/project/conservation-and-management-of-coastal-resources-as-a-potential-adaptation-strategy-for-sea-level-rise/,National Bank for Agriculture and Rural Development,689264.0,689264.0,2014-10-10,Project Under Implementation,Small Size Project
Indonesia,EMBRACING THE SUN: Redefining Public Space as a Solution for the Effects of Global Climate Change in Indonesia's Urban Areas,https://www.adaptation-fund.org/project/embracing-the-sun-redefining-public-space-as-a-solution-for-the-effects-of-global-climate-change-in-indonesias-urban-areas-4/,Partnership for Governance Reform (Kemitraan) of Indonesia,824835.0,549890.0,2021-10-21,Project Under Implementation,Small Size Project
Indonesia,"Safekeeping-Surviving-Sustaining towards Resilience: 3S Approach to Build Coastal City Resilience to Climate Change Impacts and Natural Disasters in Pekalongan City, Central Java Province",https://www.adaptation-fund.org/project/safekeeping-surviving-sustaining-towards-resilience-3s-approach-to-build-coastal-city-resilience-to-climate-change-impacts-and-natural-disasters-in-pekalongan-city-central-java-province-2/,Partnership for Governance Reform (Kemitraan) of Indonesia,5972670.0,2518797.0,2020-09-23,Project Under Implementation,Regular Size Project
Indonesia,"Adapting to Climate Change through Sustainable Integrated Watershed Governance in Indigenous People of Ammatoa Kajang Customary Area in Bulukumba Regency, South Sulawesi Province, Indonesia",https://www.adaptation-fund.org/project/adapting-to-climate-change-through-sustainable-integrated-watershed-governance-in-indigenous-people-of-ammatoa-kajang-customary-area-in-bulukumba-regency-south-sulawesi-province-indonesia-2/,Partnership for Governance Reform (Kemitraan) of Indonesia,1125015.0,1125015.0,2020-09-23,Project Under Implementation,Small Size Project
Indonesia,"Enhancing the adaptation capability of coastal community in facing the impacts of climate change in Negeri (village), Asilulu, Ureng and Lima of Leihitu District Maluku Tengah Regency Maluku Province",https://www.adaptation-fund.org/project/enhancing-the-adaptation-capability-of-coastal-community-in-facing-the-impacts-of-climate-change-in-negeri-village-asilulu-ureng-and-lima-of-leihitu-district-maluku-tengah-regency-maluku-province-2/,Partnership for Governance Reform (Kemitraan) of Indonesia,963456.0,320794.0,2021-10-21,Project Under Implementation,Small Size Project
Indonesia,Community Adaptation for Forest-Food Based Management in Saddang Watershed Ecosystem,https://www.adaptation-fund.org/project/community-adaptation-forest-food-based-management-saddang-watershed-ecosystem-4/,Partnership for Governance Reform (Kemitraan) of Indonesia,835465.0,835465.0,2019-07-08,Project Under Implementation,Small Size Project
Iraq,Building Resilience of the Agriculture Sector to Climate Change in Iraq,https://www.adaptation-fund.org/project/building-resilience-agriculture-sector-climate-change-iraq-brac-2/,International Fund Agricultural Dev,9999660.0,1300800.0,2018-03-22,Project Under Implementation,Regular Size Project
Jamaica,Enhancing the Resilience of the Agricultural Sector and Coastal Areas to Protect Livelihoods and Improve Food Security,https://www.adaptation-fund.org/project/enhancing-the-resilience-of-the-agricultural-sector-and-coastal-areas-to-protect-livelihoods-and-improve-food-security/,Planning Institute of Jamaica,9965000.0,8748735.0,2012-06-28,Project Under Implementation,Regular Size Project
Jordan,Increasing the resilience of poor and vulnerable communities to climate change,https://www.adaptation-fund.org/project/increasing-the-resilience-of-poor-and-vulnerable-communities-to-climate-change-impacts-in-jordan-through-implementing-innovative-projects-in-water-and-agriculture-in-support-of-adaptation-to-climate-4/,Ministry of Planning and International Cooperation,9226000.0,9226000.0,2015-04-10,Project Under Implementation,Regular Size Project
Kenya,Integrated Programme To Build Resilience To Climate Change & Adaptive Capacity Of Vulnerable Communities In Kenya,https://www.adaptation-fund.org/project/integrated-programme-to-build-resilience-to-climate-change-adaptive-capacity-of-vulnerable-communities-in-kenya/,National Environment Management Authority,9998302.0,9998302.0,2014-10-10,Project Under Implementation,Regular Size Project
Kyrgyzstan,Regional Resilient Pastoral Communities Project -ADAPT,https://www.adaptation-fund.org/project/resilient-pastoral-livelihoods-project-adapt/,International Fund Agricultural Dev,9999313.0,803662.0,2022-04-08,Proposal Approved,Regular Size Project
Lao People's Democratic Republic,Building climate and disaster resilience capacities of vulnerable small towns in Lao PDR,https://www.adaptation-fund.org/project/building-climate-disaster-resilience-capacities-vulnerable-small-towns-lao-pdr-3/,UN-Habitat,5500000.0,5153876.0,2019-07-08,Project Under Implementation,Regular Size Project
Lao People's Democratic Republic,Enhancing the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Lao PDR,https://www.adaptation-fund.org/project/enhancing-climate-disaster-resilience-vulnerable-rural-emerging-urban-human-settlements-lao-pdr/,UN-Habitat,4500000.0,4500000.0,2016-10-07,Project Under Implementation,Regular Size Project
Lebanon,Climate Smart Agriculture: Enhancing Adaptive Capacity of the Rural Communities in Lebanon (AgriCAL),https://www.adaptation-fund.org/project/climate-smart-agriculture-enhancing-adaptive-capacity-of-the-rural-communities-in-lebanon-agrical/,International Fund Agricultural Dev,7860825.0,6863315.0,2012-06-28,Project Under Implementation,Regular Size Project
Lesotho,Improving adaptive capacity of vulnerable and food-insecure populations in Lesotho,https://www.adaptation-fund.org/project/improving-adaptive-capacity-vulnerable-food-insecure-populations-lesotho-2/,UN World Food Programme,9999894.0,8792620.0,2019-07-08,Project Under Implementation,Regular Size Project
Liberia,Building Climate Resilience in Liberia's Cocoa and Rice Sectors,https://www.adaptation-fund.org/project/building-climate-resilience-in-liberias-cocoa-and-rice-sectors-2/,International Fund Agricultural Dev,9592082.0,1792592.0,2020-09-23,Project Under Implementation,Regular Size Project
Madagascar,Promoting climate resilience in the rice sector through pilot investments in Alaotra-Mangoro region,https://www.adaptation-fund.org/project/madagascar-promoting-climate-resilience-in-the-rice-sector/,UN Environment Programme,5104925.0,5104925.0,2011-12-14,Project Completed,Regular Size Project
Malawi,Adapting to Climate Change Through Integrated Risk Management Strategies and Enhanced Market Opportunities for Resilient Food Security and Livelihoods,https://www.adaptation-fund.org/project/adapting-to-climate-change-through-integrated-risk-management-strategies-and-enhanced-market-opportunities-for-resilient-food-security-and-livelihoods/,UN World Food Programme,9989335.0,7183963.0,2019-10-11,Project Under Implementation,Regular Size Project
Malaysia,Nature-based Climate Adaptation Programme for the Urban Areas of Penang Island,https://www.adaptation-fund.org/project/nature-based-climate-adaptation-programme-for-the-urban-areas-of-penang-island-2/,UN-Habitat,10000000.0,1500000.0,2022-02-23,Project Under Implementation,Regular Size Project
Maldives,"Increasing climate resilience through an Integrated Water Resource Management Programme in HA. Ihavandhoo, ADh. Mahibadhoo and GDh. Gadhdhoo Island",https://www.adaptation-fund.org/project/increasing-climate-resilience-through-an-integrated-water-resource-management-programme-in-ha-ihavandhoo-adh-mahibadhoo-and-gdh-gadhdhoo-island/,UN Development Programme,8989225.0,8989225.0,2011-06-22,Project Completed,Regular Size Project
Mali,Programme Support for Climate Change Adaptation in the vulnerable regions of Mopti and Timbouctou,https://www.adaptation-fund.org/project/programme-support-for-climate-change-adaptation-in-the-vulnerable-regions-of-mopti-and-timbuktu-2/,UN Development Programme,8533348.0,8533348.0,2015-03-25,Project Completed,Regular Size Project
Mauritania,Enhancing Resilience of Communities to the Adverse Effects of Climate Change on Food Security in Mauritania,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-to-the-adverse-effects-of-climate-change-on-food-security-in-mauritania/,UN World Food Programme,7803605.0,7803605.0,2012-06-28,Project Completed,Regular Size Project
Mauritius,Climate Change Adaptation Programme in the Coastal Zone of Mauritius,https://www.adaptation-fund.org/project/climate-change-adaptation-programme-in-the-coastal-zone-of-mauritius/,UN Development Programme,9119240.0,9119240.0,2011-09-16,Project Completed,Regular Size Project
"Micronesia, Federated States of",Practical Solutions for Reducing Community Vulnerability to Climate Change in the Federated States of Micronesia,https://www.adaptation-fund.org/project/practical-solutions-reducing-community-vulnerability-climate-change-federated-states-micronesia-2/,Micronesia Conservation Trust,970000.0,970000.0,2018-03-22,Project Under Implementation,Regular Size Project
"Micronesia, Federated States of",Enhancing the Climate Resilience of vulnerable island communities in Federated States of Micronesia,https://www.adaptation-fund.org/project/enhancing-climate-change-resilience-vulnerable-island-communities-federated-states-micronesia/,Secretariat of the Pacific Regional Environment Programme,9000000.0,5903581.0,2017-03-17,Project Under Implementation,Regular Size Project
"Moldova, Republic of",Talent Retention for Rural Transformation – Adapt (TART-Adapt),https://www.adaptation-fund.org/project/talent-retention-for-rural-transformation-adapt-tart-adapt/,International Fund Agricultural Dev,6008095.0,2324377.0,2019-10-11,Project Under Implementation,Regular Size Project
Mongolia,Ger Community Resilience Project (GCRP),https://www.adaptation-fund.org/project/ger-community-resilience-project-gcrp/,UN-Habitat,7965882.0,1674376.0,2023-03-24,Project Under Implementation,Regular Size Project
Mongolia,Flood Resilience in Ulaanbaatar Ger Areas - Climate Change Adaptation through community-driven small-scale protective and basic-services interventions,https://www.adaptation-fund.org/project/flood-resilience-ulaanbaatar-ger-areas-fruga-climate-change-adaptation-community-driven-small-scale-protective-basic-services-interventions-2/,UN-Habitat,4495235.0,4495235.0,2018-07-16,Project Under Implementation,Regular Size Project
Mongolia,Ecosystem Based Adaptation Approach to Maintaining Water Security in Critical Water Catchments in Mongolia,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-approach-to-maintaining-water-security-in-critical-water-catchments-in-mongolia/,UN Development Programme,5500000.0,5500000.0,2011-06-22,Project Completed,Regular Size Project
Montenegro,Adaptation to Climate Change and Resilience in the Montenegrin Mountain Areas-Gora,https://www.adaptation-fund.org/project/adaptation-to-climate-change-and-resilience-in-the-montenegrin-mountain-areas-gora/,International Fund Agricultural Dev,10000000.0,1942373.0,2023-07-05,Proposal Approved,Regular Size Project
Morocco,Climate changes adaptation project in oasis zones – PACC-ZO,https://www.adaptation-fund.org/project/climate-changes-adaptation-project-in-oasis-zones-pacc-zo-2/,Agence pour le Developpement Agricole,9970000.0,9970000.0,2015-04-08,Project Under Implementation,Regular Size Project
Myanmar,Addressing Climate Change Risks on Water Resources and Food Security in the Dry Zone of Myanmar,https://www.adaptation-fund.org/project/addressing-climate-change-risks-on-water-and-food-security-in-the-dry-zone-of-myanmar/,UN Development Programme,7909026.0,7909026.0,2014-02-27,Project Completed,Regular Size Project
Namibia,Pilot rural desalination plants using renewable power and membrane technology,https://www.adaptation-fund.org/project/pilot-rural-desalination-plants-using-renewable/,Desert Research Foundation of Namibia,4999674.0,4999674.0,2017-10-13,Project Under Implementation,Small Size Project
Nauru,Resilient Coastal Fisheries and Aquaculture in Nauru,https://www.adaptation-fund.org/project/resilient-coastal-fisheries-and-aquaculture-in-nauru/,The Pacific Community,7999493.0,837939.0,2023-03-24,Proposal Approved,Regular Size Project
Nepal,Adapting to climate induced threats to food production and food security in the Karnali Region of Nepal,https://www.adaptation-fund.org/project/adapting-to-climate-induced-threats-to-food-production-and-food-security-in-the-karnali-region-of-nepal-3/,UN World Food Programme,9527160.0,9527160.0,2015-04-01,Project Under Implementation,Regular Size Project
Nicaragua,Reduction of Risks and Vulnerability Based on Flooding and Droughts in the Estero Real Watershed,https://www.adaptation-fund.org/project/reduction-of-risks-and-vulnerability-based-on-flooding-and-droughts-in-the-estero-real-river-watershed/,UN Development Programme,5500950.0,5500950.0,2010-12-15,Project Completed,Regular Size Project
Niger,"Enhancing Resilience of Agriculture to Climate Change to Support Food Security in Niger, through Modern Irrigation Techniques",https://www.adaptation-fund.org/project/enhancing-resilience-of-agriculture-to-climate-change-to-support-food-security-in-niger-through-modern-irrigation-techniques-2/,Banque Ouest Africaine de Developpement,9911000.0,5779000.0,2016-07-05,Project Under Implementation,Regular Size Project
Pakistan,"Enhance community, local and national-level urban climate change resilience to water scarcity, caused by floods and droughts in Rawalpindi and Nowshera, Pakistan",https://www.adaptation-fund.org/project/enhance-community-local-and-national-level-urban-climate-change-resilience-to-water-scarcity-caused-by-floods-and-droughts-in-rawalpindi-and-nowshera-pakistan-2/,UN-Habitat,6094000.0,2868775.0,2020-06-01,Project Under Implementation,Regular Size Project
Pakistan,Reducing Risks and Vulnerabilities from Glacier Lake Outburst Floods in Northern Pakistan,https://www.adaptation-fund.org/project/reducing-risks-and-vulnerabilities-from-glacier-lake-outburst-floods-in-northern-pakistan/,UN Development Programme,3906000.0,3906000.0,2010-12-15,Project Completed,Regular Size Project
Panama,Adapting to climate change through integrated water management in Panama,https://www.adaptation-fund.org/project/adapting-climate-change-integrated-water-management-panama/,Fundacion Natura,9967559.0,9967559.0,2016-10-05,Project Under Implementation,Regular Size Project
Papua New Guinea,Adaptation of Small-Scale Agriculture for Improved Food Security of Resilient Communities in Papua New Guinea (ASSA),https://www.adaptation-fund.org/project/adaptation-of-small-scale-agriculture-for-improved-food-security-of-resilient-communities-in-papua-new-guinea-assa/,The Pacific Community,10000000.0,1095452.0,2023-03-24,Proposal Approved,Regular Size Project
