Country/Region,Project Title,Project Description,Sector,Status,Implementing Entity,Executing Entity,Duration,Approval Date,Start Date,Completion Date,Transferred Amount,Grant Amount
Colombia/Latin America & Caribbean,Reducing Risk and Vulnerability to Climate Change in the Region of La Depresion Momposina in Colombia,"To learn more, please see the project document below.",Disaster Risk Reduction,Project Completed,UN Development Programme,Ministry of Environment and Sustainable Developmen,5 years,6/29/2012,3/21/2013,1/31/2020,"USD 8,518,307","USD 8,518,307"
Congo/Africa,Building adaptive capacity to climate change in vulnerable communities living in the Congo River Basin,"Congo is experiencing main climate change impacts such as extreme weather events, sea-level rise, average global temperature rise, and unpredictable rainfall patterns have considerable effects on people’s livelihoods. Consequently, changing climatic conditions threaten the achievement of development goals, with extreme consequences for the most vulnerable social groups. Large parts of the economy in Congo are highly climate sensitive in particular the agriculture, infrastructure and water sectors. Also, livelihoods are highly dependent on climate-sensitive natural resources such as dry land agriculture, forestry and local water resources. There is little protection against disasters from storms and floods and there is limited adaptive capacity. The project aims to reduce vulnerability to the impacts of climate change and strengthen adaptive capacities of vulnerable communities and the ecosystems they depend on, by promoting food security, nutrition and use a gender sensitive approach. The project purposely targets those who are most affected by climate change, poverty, food insecurity, and who rely on agricultural livelihoods that are limited by and vulnerable to climate change impacts, especially women and indigenous groups.  ",Food Security,Project Under Implementation,UN World Food Programme,"Ministry of Tourism and Environment ,",5 years,10/11/2019,2/22/2022,,"USD 1,996,677","USD 9,999,909"
Costa Rica/Latin America & Caribbean,"Reducing the Vulnerability by Focusing on Critical Sectors (Agriculture, Water Resources and Coastlines) in order to Reduce the Negative Impacts of Climate Change and Improve the Resilience of these Sectors.","Costa Rica is experiencing the effects of increasing temperatures and intensity of extreme rainfall. These effects, due to climate change, are increasing the vulnerability of the water resources of the country, threatening the sustainable production of agricultural resources that promote food security and livelihoods, as well as negatively affecting mangroves and coral reefs, which serve as protective barriers to coastal communities. Objectives: The objective of this programme is to reduce climate vulnerability by focusing on critical sectors (agriculture, water resources, and coastal zones) in order to reduce the negative impacts of climate change, and improve the resilience of those populations. This program will seek to increase climate resilience by working directly with local stakeholders and anticipated beneficiaries through the implementation of adaptation projects in each of the geographical areas selected. Projects submitted by local organizations have been screened and the preselected proposals went through an in-depth assessment of their potential for the enhancement of climate resilience, which involves an analysis of the actions’ appropriateness, based on the local biophysical and socioeconomic context. The support will consist of investment in interventions, technical assistance, and training related to this plan.   Component 1: Increasing the adaptation capacity to climate change in the agricultural sector (including agriculture and livestock) USD 3,000,000 Component 2: Improving water resources management in order to increase resilience in coastal communities that are more vulnerable to climate change USD 3,449,010 Component 3: Improving the capacity of communities, producers, institutions, and other relevant stakeholders regarding adaptation to climate change USD 1,900,000 Project/Programme Execution Cost USD 860,000  Total Project/Programme Cost (= Project Components + Execution Cost) USD 9,216,590   Implementing Fee USD 750,000 Grant Amount (= Total Project/Programme Cost + Implementing Fee)  USD 9,970,000    ",Multi-sector,Project Under Implementation,Fundecooperacion Para el Desarollo Sostenible,Fundecooperación,5 years,10/10/2014,10/7/2015,,"USD 9,970,000","USD 9,970,000"
Cuba/Latin America & Caribbean,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces,"This project focuses specifically on an 84 km long stretch of coastline between Punta Sucia and Punta Mora in the western provinces of Artemisa and Mayabeque, covering 6 municipalities. This coastline, which lies on the Gulf of Batabanó, is comprised of a large coastal wetland area based on clay and terrestrial deposits, dominated by mangroves. This is one of the most vulnerable regions in the country to tropical storms and hurricanes, and associated storm surges. The project will rely on a combination of natural regeneration and artificial regeneration (planting) to achieve the recovery of structure, function and ecosystem services in mangroves and other associated coastal ecosystems.    ",Coastal management,Project Completed,UN Development Programme,CITMA-MINAGRI,5 years,12/14/2012,9/11/2014,,"USD 6,067,320","USD 6,067,320"
Djibouti/Africa,Integrated Water and Soil Resources Management Project (Projet de gestion intégrée des ressources en eau et des sols PROGIRES)," The Project will operate in the Adwaac, Deydey-Weyn, Medeho catchment areas and to a lesser extent in the Petit Bara/Ambouli and Grand Bara basins (six basins), belonging respectively to the regions of Tadjourah, Ali-Sabieh, Obock, Arta and Dikhil. These areas are characterized by high poverty rates with sites where natural resources are often degraded: the majority of the selected localities are located in these pockets of poverty. The choice of intervention sites has been based on four pre-established criteria agreed with the government, namely: (i) existence of untapped surface water resources (actual or potential), in sufficient quantity and quality; (ii) poverty index; (iii) population density or settlement dynamics; (iv) existence of agricultural potential and/or rangelands; plus (v) food security needs. For all the localities, the project will capitalize on what has already been done in other interventions by mobilizing and maximizing the potential of water resources through sound management and development of the resource in the context of climate change. The project will thus strengthen the capacities of households, men/women and young people to cope with climate change through practical training (field schools and demonstrations) and local support in various areas of individual or collective management: technical advice, professional advice and organization, advice on the management of the water mobilized and rangelands, environmental education, nutritional education and food security, access to social services andIncome-Generating Activities (IGAs),especially for young people and women, for income diversification. The main objective of PROGIRES is to improve the climate resilience of vulnerable ecosystems and increase the adaptive capacity of rural poor to respond to the impacts of climate change in Djibouti. Overall, the IGAs will target 800 IGA holders, i.e. 4,800 beneficiaries. It is expected that at the end of the project, the most marginalized women and youth will be able to create and sustainably manage economically profitable activities.  418,285  ",Water management,Project Under Implementation,International Fund Agricultural Dev,"Ministry of Agriculture, Water, Fisheries and Livestock",5.5 years,7/26/2021,3/29/2022,,"USD 1,052,450","USD 5,339,285"
Dominican Republic/Latin America & Caribbean,"Enhancing Climate Resilience in San Cristóbal province, Dominican Republic Integrated Water Resources Management and Rural Development Programme","Water is a transcendental aspect within the thematic priorities and cross-cutting themes of the development agenda of the Dominican Republic, due to its effects on public health and rural livelihoods. Integrated water resources management (IWRM), which considers climate change, especially in river basins, sub-basins and other sources of water supply for rural communities, is a requirement for any intervention related to water with which you want to address the impacts of climate change and the vulnerability of communities. The main objective of the program is to increase the resilience and capacity to adapt to climate impacts and risks on the water resources of rural communities in the Province of San Cristóbal and contribute to the diversification of their livelihoods. This objective will be achieved through improving the access to water supply and sanitation services, re-afforestation activities aligned with a correct land use, and increasing institutional and community capacity and coordination for integrated management that supports other uses of water, especially for the diversification of the livelihoods of communities. The specific objectives of the project are: Project Story: Adaptation Fund in the Dominican Republic  ",Water management,Project Under Implementation,Dominican Institute of Integral Development of Dominican Republic,"Ministry of Environment and Natural Resources, National Institute for Water Supply, Community-based NGOs",4 years,3/15/2019,7/17/2019,,"USD 9,953,692","USD 9,953,692"
Ecuador/Latin America & Caribbean,"Enhancing resilience of communities to the adverse effects of climate change on food security, in Pichincha Province and the Jubones River basin","Background:Nearly half of the communities in the Pichincha Province of Ecuador are affected by chronic malnutrition. Many small-scale farmers cannot feed their families adequately, as they have little or no access to capital, markets, or effective farming techniques and infrastructure. In the Olmedo community, for example, 90 percent of residents live below the poverty line and 40 percent are malnourished. At the same time, increasing population levels and the corresponding need for land have forced people to overexploit forests and to plant their crops on soil with high erosion rates. Poverty forces people to occupy unsafe areas most prone to natural disasters and increased population density is leaving more people exposed to reductions in water flows, decreased crop yields and ongoing environmental damage. Other factors contributing to vulnerability include lack of awareness of climate-related threats, the construction of homes on fragile land, and the inadequate quality of infrastructure and construction materials.       ",Food Security,Project Completed,UN World Food Programme,"Ministry of Environment in coord with the Min Agr,",5 years,3/18/2011,11/29/2011,,"USD 7,449,468","USD 7,449,468"
Egypt/Africa,Building Resilient Food Security Systems to Benefit the Southern Egypt Region- Phase 2,"The overall objective of this project is to build resilience of Southern Egypt farming communities in the face of climate change and variability risks to food security. The project will, in line with the results of the Adaptation Fund (as highlighted in section III F below), help vulnerable communities to increase their adaptive capacity by promoting solutions to 1) increase productivity of their staple crops such as wheat and maize; 2) diversify their production through intercropping, animal and fish production and agro-processing; 3) increase production through protected agriculture; 4) support the management of their water resources through low-cost water saving techniques and 5) loss reduction in extreme weather events through early warning. The project will also build institutional capacities of the diversified stakeholders engaged in climate resilience building to upscale and sustain the different solutions introduced by the project.  ",Food Security,Project Under Implementation,UN World Food Programme,Ministry of Agriculture and Land Reclamation,3 years,9/23/2020,9/20/2021,,"USD 1,813,304","USD 3,094,962"
Ethiopia/Africa,Climate Smart Integrated Rural Development Project,"Agricultural production in Ethiopia is dominated by small-scale subsistence farmers (about 8 million households) who practice traditional farming methods, accounting for 95% of the total area under production. The high proportion of rain-fed crop production makes the sector very sensitive to rainfall variability. Productivity has historically been constrained by rainfall variability and extremes, low soil fertility and land/soil degradation. Erosion of topsoil and failure to return organic matter contributes further to soil deterioration. Ethiopia also has a large livestock population (the largest in Africa); livestock is a source of local income in the highlands (where mixed farming systems are often used) and in lowlands/pastoral farming systems, where livestock are a critical part of livelihoods and the principal capital of farmers. Over 80% of agricultural holders practice mixed systems. Critically, both agriculture and livestock sectors are heavily impacted by the frequent major droughts and floods. Drought is a critical climate related hazard in Ethiopia, frequently occurring in many parts of the country. A large part of Ethiopia  is dryland, where annual rainfall is low and seasonal and inter-annual variability is high. These areas are highly vulnerable; desertification and drought have been a persistent problem throughout history, with associated food shortages and famine. Floods are the other major climate related hazard in the country. Major floods – leading to loss of life and property – have occurred in different parts of the country although there are much more common smaller events. The overall objective of the project is to increase resilience to recurrent droughts in seven agro-ecological landscapes in Ethiopia. An integrated water, agriculture and natural resource management approach will be adopted to achieve the following outcomes:      ",Rural development,Project Under Implementation,Ministry of Finance and Economic Cooperation of the Federal Democratic Republic of Ethiopia,MoFEC,4 years,3/17/2017,7/20/2017,3/31/2022,"USD 9,987,910","USD 9,987,910"
Fiji/Asia-Pacific,Increasing the resilience of informal urban settlements in Fiji that are highly vulnerable to climate change and disaster risks,"Fiji is located in the Pacific Ocean’s tropical cyclone belt. The island nation experiences frequent cyclones (on average, one cyclone per year) and with them damaging winds, rain and storm surges. Besides cyclones, the country suffers from other extreme events associated with climate change such as extreme rainfall, flooding, droughts and temperature extremes as well as sea-level rise. Being mountainous in its interior, cities and towns are mainly located on the coast and along rivers. The result is that Fiji’s towns and cities are particularly exposed to seaborne and riverine natural hazards, cyclones, storm surges, coastal and riverine erosion, landslides, floods and already occurring sea level rise due to climate change. Mangrove deforestation and coral reef extraction in order to accommodate urban development and for reasons of income generation are increasing the vulnerability of urban areas to coastal hazards, as both mangrove forests and coral reefs provide effective barriers against storm surges and cyclones. Of particularly critical concern are the residents of informal settlements in towns and cities as many such settlements are located in highly vulnerable areas, such as riverbanks and pockets of coastal land. The project will focus on informal settlements across four urban areas and towns in Fiji: Lautoka, Sigatoka, Nadi and Lami, which are located in the Greater Suva Urban Area. The overall objective of the project is to increase the resilience of informal urban settlements in Fiji that are highly vulnerable to climate change and disaster risks. This will be achieved by:  ",Urban development,Project Under Implementation,UN-Habitat,"Ministry of Local Government, Housing &amp;amp;amp; Environment",5 years,10/10/2017,8/12/2018,,"USD 1,797,380","USD 4,235,995"
Georgia/Eastern Europe,Dairy Modernization and Market Access: Adaptation Component (DiMMAdapt),"   The Programme will cover 36 percent of all rural settlements and more than half of a country’s total rural population. While the three contiguous regions of Imereti, Samegrelo-Zemo Svaneti and Samtskhe-Javakhetise regions, where the programme will start to be implemented, are not the poorest in country, poverty levels are still high, especially in remote and mountainous communities where climate vulnerability is an issue. The identified regions have relatively large climate vulnerable mountainous areas where the households are identified as being dependent on degraded pastures. The 3 regions covered by the project are already, and will be even more severely subject to, climate change risks in the form of frequent seasonal and yearly droughts, heat waves, rainfall storms and associated land degradation. As pressures from overgrazing are considerable factors in pasture degradation, the project areas will comprise 50% of the national cattle population and where almost 99 percent of cattle owners are smallholders with less than 20 heads of cattle. The project will target: i) smallholder livestock farmers with 1-20 herd of cattle, and will be the focus of most training and technical assistance activities for smallholder farmers +PUAs; and ii) smallholder farmers that will not comply to EU regulation on dairy products and are willing to diversify their activities. The anticipated total number of the DiMMA direct beneficiaries will be at least 6,000 smallholder farmers (approximately 16,500 people in 5,000 households). The overall goal of the project is to reduce the vulnerability of the dairy value chain to the deleterious impacts of climate change by enhancing the resilience of vulnerable dairy producers.  ",Agriculture,Project Under Implementation,International Fund Agricultural Dev,Ministry of Environmental Protection and Agriculture (MEPA),4 years,10/11/2019,4/16/2021,,"USD 2,466,655","USD 4,644,794"
Ghana/Africa,Increased Resilience to Climate Change in Northern Ghana through the Management of Water Resources and Diversification of Livelihoods,"  The programme targets the three regions in the northern part of Ghana: the Upper East, Upper West and Northern Regions. Compared to other regions of the country, these three northern regions have high degree of exposure to climate variability and change characterized by increasing temperatures and decreasing and erratic rainfall. These factors make the northern regions highly vulnerable to climate change and high priority regions for climate change adaptation. The main objective of the programme is to enhance the resilience and adaptive capacity of rural livelihoods to climate impacts and risks on water resources in the northern region of Ghana. The objective will be achieved through key results centered on the improvement of water access and also increase institutional capacity and coordination for integrated water management to support other uses of water resources especially for the diversification of livelihoods by rural communities. Objectives:    ",Water management,Project Completed,UN Development Programme,"Ministry of Env, Science, Techn and Innovation",4 years,3/5/2015,5/23/2016,12/31/2020,"USD 8,293,972","USD 8,293,972"
Guatemala/Latin America & Caribbean,Climate change resilient production landscapes and socioeconomic networks advanced in Guatemala,"Guatemala is a country with high levels of social inequality and poverty (51% of the population is poor and 15% live in extreme poverty) and an infant malnutrition rate of 43%. Most of the poor are women and indigenous people. Most of the indigenous populations are grouped in rural regions that have the lowest human development indices and the highest poverty and extreme poverty indices. Projected climate variability and climate change will cause a regression in human development levels that will impact a range of issues including food security, health, forestry, ecosystems, and water resources. Objectives: The project aims to increase climate resilience of production landscapes and socio-economic systems in the target municipalities threatened by the impacts of climate change and climatic variability, in particular hydro-meteorological events that are increasing in frequency and intensity. The key outcomes range from enhancement of institutional capabilities to support for building more resilient local economies, and increasing the adaptive capacity of communities.  ",Rural development,Project Completed,UN Development Programme,Guatemalan Ministry of Environment and Natural Res,4 years,9/12/2013,2/7/2015,10/31/2018,"USD 5,425,000","USD 5,425,000"
Haiti/Latin America & Caribbean,Implementing Measures for Climate Change Adaptation and Disaster Risk Reduction Mitigation of School Facilities in Haiti," Disasters have a major impact on children, youth and education systems. In January 2010, approximately 38,000 students and 1,300 teachers and education personnel died in Haiti. The Ministry of Education offices were destroyed along with 4,000 schools – close to 80 % of educational establishments in the Port-au-Prince area. In 2016, hurricane Matthew struck Haiti and caused significant physical damage to Haiti’s education sector. On average, one school out of four was damaged. Many of these schools are still used as temporary shelter, or as evacuation shelters. The aim of this project is to enhance the adaptive capacity and resilience of the Haitian education sector to disaster risk of natural hazards related to climate change, through the establishment of appropriate risk assessment tool, schools retrofitting and implementing adaptation actions in Haiti. The project promotes and adopt innovative, structural and non-structural resilient resolutions. More specifically, this project is intended to strengthen the resilience to hurricane and flood of the Haitian education sector by: The project expects to benefit about 1.5 million people living in the communes through the school project assessment and about 150,000 students.    ",Disaster Risk Reduction,Project Under Implementation,"United Nations Educational, Scientific and Cultural Organization","United Nations Office for Project Services (UNOPS),Ministry of Environment (MdE),Ministry of National Education and Vocational Training (MENFP),Direction of Civil Protection (DPC),University National of Haiti (NUH),UNESCO Chair in Intersectoral Safety for DRR and Resilience of the University of Udine, Italy (UD)",3 years,2/23/2022,12/21/2022,,"USD 1,514,200","USD 9,916,344"
Honduras/Latin America & Caribbean,Ecosystem-Based Adaptation at Communities of the Central Forest Corridor in Tegucigalpa,"Objectives: The goal of the project is to increase resilience to climate change and water-related risks in the most vulnerable population in Honduras through pilot activities and an overarching intervention to mainstream climate change considerations into water sector policies. The project aims, for example, to integrate climate change risks and opportunities into the country’s new water law and the new National Plan Law. Other goals include the strengthening of a national meteorological network; improving information on the scientific, technical, and socioeconomic aspects on impacts of climate change, vulnerability and adaptation; and increasing the availability of climate risk assessment tools and information to relevant institutions. In order to safeguard the water supplies of Tegucigalpa City and surrounding areas, the project will work to strengthen sustainable land use practices piloted in the highland watersheds and green belt around Tegucigalpa and instituting financial mechanisms that assist in managing water supply and demand. Training decision makers and resource users to better understand the projected impacts of climate change and providing them with the knowledge to identify effective options for reducing climatic risks and vulnerability is also an important facet of the project.     ",Ecosystem-based adaptation,Project Under Implementation,UN Development Programme,"Ministry of Energy, Natual Resources, Environment",5 years,3/17/2017,3/4/2019,,"USD 3,649,300","USD 4,379,700"
Honduras/Latin America & Caribbean,Addressing Climate Change Risks on Water Resources in Honduras: Increased Systemic Resilience and Reduced Vulnerability of the Urban Poor,"As climate change brings more extreme weather, residents in and around Honduras’ capital city have begun to struggle with adapting to the changing conditions. With financing from the Adaptation Fund, and working with Honduras’ Secretaría de Recursos Naturales (SERNA), the UNDP has been building climate resilience in these and twelve other urban communities in Tegucigapla and the upper Choluteca watershed. In Campo Cielo, rooftop rainwater harvesting systems have been installed on thirty-eight homes. These direct water running off the roofs during rainfall events to a 63,000 liter storage tank at the General School San Martin, where it is used for the bathrooms, cleaning and in the school garden. In Cantarero Lopez, Adaptation Fund financing supported infrastructure improvements along the main road, including climate-proofing the road and sidewalks, and installing ditches to direct the rainfall out of the road. The overall objective of the project is to increase resilience to climate change and water-related risks for the most vulnerable population in Honduras through pilot activities and an overarching intervention to mainstream climate change considerations into water sector policies. The specific project objectives are:     ",Water management,Project Completed,UN Development Programme,Secretariat for Natural Resources and Environment,5 years,9/17/2010,6/27/2011,12/30/2016,"USD 5,620,300","USD 5,620,300"
